Type,Index,IsAuto,VideoEncoder,Resolution,FrameRate,VideoBitRate,AudioEncoder,Channel,SampleRate,AudioBitRate,Extension,image,Type
iPhoneX,0,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160|256,mp4,iphoneX,Video
iPhone8/8Plus,1,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160|256,mp4,iphone8,Video
iPhone7/7Plus,2,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,iphone7,Video
iPhone6/6Plus,3,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,iphone6,Video
iPhone 5/5s/5c,4,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1136*640|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,iphone5,Video
iPad mini,5,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1136*640|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipadmini,Video
iPad mini 2,6,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1136*640|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipadmini,Video
iPad Air,7,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|7|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipadair,Video
iPad 4,8,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|7|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipadair,Video
iPad 2,9,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|7|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipad,Video
The New iPad,10,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|7|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipad,Video
iPod Touch 5,11,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1136*640|1280*720,24|30,6|7|7|9|8|8|6,AAC,1|2,44100|48000,96|128|160,mp4,ipodTouch,Video
iPod Touch 4,12,1,H264|MPEG-4,320*240|480*320|640*480|720*480|960*640|1280*720,24|30,6|7|7|9|7|6,AAC,1|2,44100|48000,96|128|160,mp4,ipodTouch,Video
iPod Touch 1-3,13,1,H264|MPEG-4,320*240|640*480,24|30,6|6,AAC,1|2,44100|48000,96|128,mp4,ipodTouch,Video
iPod nano,14,1,H264|MPEG-4,320*240|640*480,24|30,6|6,AAC,1|2,44100|48000,96|128,mp4,ipodnano,Video
iPod classic,15,1,H264|MPEG-4,320*240|640*480,24|30,6|6,AAC,1|2,44100|48000,96|128,mp4,ipodclassic,Video
Apple TV,16,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720,24|30,6|7|7|9|9|7|4,AAC,2|6,44100|48000,96|128|160,mp4,appleTV,Video
Apple TV2,17,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|9|7|6|6,AAC,2|6,44100|48000,96|128|160,mp4,appleTV,Video
The New Apple TV,18,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|9|7|6|6,AAC,2|6,44100|48000,96|128|160,mp4,appleTV,Video
Android Phone,19,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1280*720|1920*1080,24|30,6|7|7|9|8|6|6,AAC,1|2,44100|48000,96|128|192,mp4,android,Video
PS4,20,0,H264&0,320*240|480*320|640*480|720*480|1280*720|1920*1080&2,24|30&1,6|7|8|9|7|7|7,AAC&0,2|6&0,44100|48000&0,96|128|160|192&2,mp4,ps4,Video
Xbox one,21,0,WMV3&0,1280*720|1920*1080&0,24|30&1,6|4,WMA9|WMA8&0,2&0,32000|44100|48000&1,128|160|192&1,wmv,xbox,Video
PSP,22,1,H264,320*240|352*240|480*272|720*480,24,6|6|6|9,AAC,1|2,32000|44100|48000,96|128,mp4,psp,Video
PS3,23,0,H264&0,320*240|480*320|640*480|720*480|1280*720|1920*1080&2,24|30&1,6|7|8|9|7|7,AAC&0,2|6&0,32000|44100|48000&1,96|128|160|192&2,mp4,ps4,Video
Xbox 360,24,0,WMV3&0,1280*720|1920*1080&0,24|30&1,6|4,WMA9|WMA8&0,2&0,32000|44100|48000&1,128|160|192&1,mp4,xbox,Video
MOV-QuickTime(*.mov),25,1,AVC|MPEG-4,320*240|480*320|640*480|720*480|854*480|960*540|1334*750|1280*720|1920*1080|4196*2160,20|24|25|29.97|30,6|7|7|9|8|8|8|6|5|5,AAC,1|2|5.1,22050|32000|44100|48000,96|128|160|192|256&2,mov,mov,Video
M4V-MPEG-4 Video(*.m4v),26,1,AVC|MPEG-4,320*240|480*320|640*480|720*480|854*480|960*540|1334*750|1280*720|1920*1080|4196*2160,20|24|25|29.97|30,6|7|7|9|8|8|8|6|5|5,AAC,1|2,22050|32000|44100|48000,96|128|160|192|256,m4v,m4v,Video
MPEG-1 Movie(*.mpg),27,1,MPEG-1,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,15|20|25|30,6|7|7|9|8|8|6|5,MPEG,2,44100|48000,96|128|160|192|256,mpg,mpeg-1,Video
MPEG-2 Movie(*.mpg),28,1,MPEG-2,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,15|20|23.97|25|29.97|30,6|7|7|9|8|8|6|5,MPEG,2,44100|48000,96|128|160|192|256,mpg,mpeg-2,Video
MPEG-4 Movie(*.mp4),29,1,MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,10|12|15|20|23.97|24|25|30,6|7|7|9|8|8|6|5,AAC,2|5.1,44100|48000,96|128|160|192|256,mp4,mpeg-4,Video
MPEG-4 AVC Movie(*.mp4),30,1,H264,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080|4196*2160,20|23.97|24|25|29.97|30,6|7|7|9|8|8|6|5|5,AAC,2|5.1,32000|44100|48000,96|128|160|192|256,mp4,mpeg-4,Video
WMV-Windows Media Video(*.wmv),31,1,WMV2,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080|4196*2160,20|24|25|30,6|7|7|9|8|8|6|5|5,WMA1|WMA2,1|2,32000|44100|48000,96|128|160|192|256,wmv,wmv,Video
DV-Digital Video Format(*.dv),32,1,DVVIDEO,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080|4196*2160,25|30,6|7|7|9|8|8|6|5|5,PCM,2,44100|48000,96|128|160|192|256,dv,dv,Video
MKV Video(*.mkv),33,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080|4196*2160,15|20|23.97|24|25|30,6|7|7|9|8|8|6|5|5,AAC|AC-3|MP3,1|2,32000|44100|48000,96|128|160|192|256,mkv,mkv,Video
AVI Video(*.avi),34,1,MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080|4196*2160,24|30,6|7|7|9|8|8|6|5|5,Inter adpcm|PCM|MP3,1|2,32000|44100|48000,96|128|160|192|256,avi,avi,Video
TS File for SD(*.ts),35,1,MPEG-2,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080|4196*2160,24|30,6|7|7|9|8|8|6|5|5,MPEG,1|2,32000|44100|48000,96|128|160|192|256,ts,ts,Video
Flash Video(*.flv),36,1,FLV|H264,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,12|15|20|25|30,6|7|7|9|8|8|6|5,MP3,1|2,22050|32000|44100|48000,96|128|160|192|256,flv,flv,Video
ASF-Advanced Streaming Format(*.asf),37,1,MSVIDEO3,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,15|20|24|25|30,6|7|7|9|8|8|6|5,WMA1|WMA2,1|2,22050|32000|44100|48000,96|128|160|192|256,asf,asf,Video
MP3 Audio(*.mp3),38,0,NONE,NONE,NONE,NONE,MP3&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,mp3,mp3,Audio
M4A Audio(*.m4a),39,0,NONE,NONE,NONE,NONE,AAC&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,m4a,m4a,Audio
ALAC Audio(*.m4a),40,0,NONE,NONE,NONE,NONE,ALAC&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,m4a,m4a,Audio
AC3 Audio(*.ac3),41,0,NONE,NONE,NONE,NONE,AC-3&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,ac3,ac3,Audio
WMA Audio(*.wma),42,0,NONE,NONE,NONE,NONE,WMA1|WMA2&1,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,wma,wma,Audio
WAV Audio(*.wav),43,0,NONE,NONE,NONE,NONE,PCM&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,wav,wav,Audio
OGG Audio(*.ogg),44,0,NONE,NONE,NONE,NONE,VORBIS&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,ogg,ogg,Audio
MKA Audio(*.mka),45,0,NONE,NONE,NONE,NONE,AAC|AC-3|MP3&2,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,mka,mka,Audio
SUN AU Format Audio(*.au),46,0,NONE,NONE,NONE,NONE,TWOS&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,au,au,Audio
FLAC Audio(*.flac),47,0,NONE,NONE,NONE,NONE,FLAC&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,flac,flac,Audio
Mac caf Music File(*.caf),48,0,NONE,NONE,NONE,NONE,TWOS&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,caf,caf,Audio
Audio IFF(*.aiff),49,0,NONE,NONE,NONE,NONE,TWOS&0,1|2&1,22050|32000|44100|48000&2,96|128|160|192|256&1,aiff,aiff,Audio