resolution,bitrate
128*96,96|128|160|256&2
160*120,96|128|160|256|384&3
176*144,96|128|160|256|384&3
240*160,128|256|384|512|768|900&2
288*224,128|160|256|384|512&3
320*240,256|384|512|768|900|1200&2
352*240,256|384|512|768|900|1200&2
352*288,128|160|256|384|512&3
480*272,256|384|512|768|900|1200&3
480*320,384|512|768|900|1000|1200|1500&4
480*368,384|512|768|900|1200|1500&4
640*360,512|768|900|1000|1200|1500|2000|3000&4
640*480,512|768|900|1000|1200|1500|2000|3000|4000|6000&5
720*480,768|900|1000|1200|1500|2000|2500|3000|4000&5
768*576,768|900|1000|1200|1500|2000|2500|3000|4000&5
750*1334,2000|3000|4000|5000|6000|8000|10000&3
800*480,768|900|1000|1200|1500|2000|2500|3000|4000&5
854*480,768|900|1000|1200|1500|2000|2500|3000|4000&5
960*540,900|1200|1500|2000|3000|3500|4000|6000&5
960*640,900|1200|1500|2000|3000|3500|4000|6000&5
1024*600,900|1200|1500|2000|3000|3500|4000|6000&5
1136*640,900|1200|1500|2000|3000|3500|4000|6000&5
1280*720,2000|3000|4000|5000|6000|8000|10000|20000&3
1334*750,2000|3000|4000|5000|6000|8000|10000|20000&3
1920*1080,2000|4000|6000|8000|10000|20000|30000&4
2000*2000,2000|4000|6000|8000|10000|20000|30000&4
3840*2160,10000|15000|20000|25000|30000|40000&4
4196*2160,10000|15000|20000|25000|30000|40000&4
NONE,NONE&0